"Geography","Year","Question Code","Question Text","Response Category","Response Variable","Gender","Value"
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Fully cover own expenses or fully covers their own expenses and others expenses","b3_fullyindependent","male",65.00
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Fully cover own expenses or fully covers their own expenses and others expenses","b3_fullyindependent","female",39.00
"Costa Rica",2020,"A.7","During the last 12 months, which of the following -most closely- reflects your current financial situation?","Fully cover own expenses or fully covers their own expenses and others expenses","b3_fullyindependent","combined",51.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Agree/Agree","b4_agree","male",20.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Agree/Agree","b4_agree","female",14.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Agree/Agree","b4_agree","combined",16.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Disagree/Disagree","b4_disagree","male",72.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Disagree/Disagree","b4_disagree","female",76.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Strongly Disagree/Disagree","b4_disagree","combined",74.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Neutral","b4_neutral","male",9.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Neutral","b4_neutral","female",10.00
"Costa Rica",2020,"A.8","How much do you agree or disagree with the following statement, 'Household expenses are the responsibility of the man, even if his wife can help him?'","Neutral","b4_neutral","combined",9.00
"Costa Rica",2020,"A.9","Out of 10 of your neighbors, how many do you think believe that household expenses are the responsibility of the man, even if his wife can help him?",,"b5_man_other","male",5.47
"Costa Rica",2020,"A.9","Out of 10 of your neighbors, how many do you think believe that household expenses are the responsibility of the man, even if his wife can help him?",,"b5_man_other","female",5.54
"Costa Rica",2020,"A.9","Out of 10 of your neighbors, how many do you think believe that household expenses are the responsibility of the man, even if his wife can help him?",,"b5_man_other","combined",5.49
"Costa Rica",2020,"A.10","Who decides about money spending priorities in critical or urgent matters within your household (e.g., medical emergency, family member job loss, etc.)?","Self","b9","male",18.00
"Costa Rica",2020,"A.10","Who decides about money spending priorities in critical or urgent matters within your household (e.g., medical emergency, family member job loss, etc.)?","Self","b9","female",26.00
"Costa Rica",2020,"A.10","Who decides about money spending priorities in critical or urgent matters within your household (e.g., medical emergency, family member job loss, etc.)?","Self","b9","combined",22.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Agree/Agree","c3_agree","male",18.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Agree/Agree","c3_agree","female",21.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Agree/Agree","c3_agree","combined",20.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Disagree/Disagree","c3_disagree","male",53.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Disagree/Disagree","c3_disagree","female",49.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Strongly Disagree/Disagree","c3_disagree","combined",51.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Neutral","c3_neutral","male",29.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Neutral","c3_neutral","female",29.00
"Costa Rica",2020,"A.11","How much do you agree or disagree with the following statement? 'A woman's most important role is to take care of her home and children.'","Neutral","c3_neutral","combined",29.00
"Costa Rica",2020,"A.12","Out of 10 of your neighbors, how many do you think believe that a woman's most important role is to take care of her home and children?",,"c4_housewife_other","male",5.52
"Costa Rica",2020,"A.12","Out of 10 of your neighbors, how many do you think believe that a woman's most important role is to take care of her home and children?",,"c4_housewife_other","female",6.31
"Costa Rica",2020,"A.12","Out of 10 of your neighbors, how many do you think believe that a woman's most important role is to take care of her home and children?",,"c4_housewife_other","combined",5.95
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have full access","sog_w2_access_hh_mny_full","male",35.00
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have full access","sog_w2_access_hh_mny_full","female",28.00
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have full access","sog_w2_access_hh_mny_full","combined",31.00
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have limited access","sog_w2_access_hh_mny_limited","male",65.00
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have limited access","sog_w2_access_hh_mny_limited","female",72.00
"Costa Rica",2020,"A.3","What level of access to household money do you personally have? Select one","I have limited access","sog_w2_access_hh_mny_limited","combined",69.00
"Costa Rica",2020,"A.1","Who normally decides about large purchases in your household? Select one","I make the decision","sog_w2_dcd_prchs_self","male",17.00
"Costa Rica",2020,"A.1","Who normally decides about large purchases in your household? Select one","I make the decision","sog_w2_dcd_prchs_self","female",26.00
"Costa Rica",2020,"A.1","Who normally decides about large purchases in your household? Select one","I make the decision","sog_w2_dcd_prchs_self","combined",22.00
"Costa Rica",2020,"A.2","Out of 10 of your neighbors, how many do you think believe that girls and boys should share household tasks equally? Please enter a whole number between 0 and 10",,"sog_w2_hh_tsk_eq_nghbr","male",7.00
"Costa Rica",2020,"A.2","Out of 10 of your neighbors, how many do you think believe that girls and boys should share household tasks equally? Please enter a whole number between 0 and 10",,"sog_w2_hh_tsk_eq_nghbr","female",6.51
"Costa Rica",2020,"A.2","Out of 10 of your neighbors, how many do you think believe that girls and boys should share household tasks equally? Please enter a whole number between 0 and 10",,"sog_w2_hh_tsk_eq_nghbr","combined",6.76
"Costa Rica",2020,"A.4","Who are the main income earners in your household? (This includes earnings sent from another area/country) Select all that apply","Self","sog_w2_income_earner_self","male",69.00
"Costa Rica",2020,"A.4","Who are the main income earners in your household? (This includes earnings sent from another area/country) Select all that apply","Self","sog_w2_income_earner_self","female",43.00
"Costa Rica",2020,"A.4","Who are the main income earners in your household? (This includes earnings sent from another area/country) Select all that apply","Self","sog_w2_income_earner_self","combined",54.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Computer","sog_w2_own_comp","male",54.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Computer","sog_w2_own_comp","female",46.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Computer","sog_w2_own_comp","combined",50.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Land","sog_w2_own_land","male",23.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Land","sog_w2_own_land","female",15.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Land","sog_w2_own_land","combined",19.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","None of the above","sog_w2_own_none","male",23.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","None of the above","sog_w2_own_none","female",15.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","None of the above","sog_w2_own_none","combined",14.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Smartphone","sog_w2_own_phone","male",70.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Smartphone","sog_w2_own_phone","female",54.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","Smartphone","sog_w2_own_phone","combined",61.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","The place where you live (e.g. house, apartment, etc.)","sog_w2_own_place","male",55.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","The place where you live (e.g. house, apartment, etc.)","sog_w2_own_place","female",58.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","The place where you live (e.g. house, apartment, etc.)","sog_w2_own_place","combined",57.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","A motorized vehicle (e.g. car, motorcycle, etc.)","sog_w2_own_vehi","male",43.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","A motorized vehicle (e.g. car, motorcycle, etc.)","sog_w2_own_vehi","female",26.00
"Costa Rica",2020,"A.5","Do you currently own any of the following? Select all that apply","A motorized vehicle (e.g. car, motorcycle, etc.)","sog_w2_own_vehi","combined",34.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Neutral","sog_w2_unsafe_neutral","male",21.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Neutral","sog_w2_unsafe_neutral","female",21.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Neutral","sog_w2_unsafe_neutral","combined",21.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Agree/Agree","sog_w2_unsafe_strag_ag","male",29.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Agree/Agree","sog_w2_unsafe_strag_ag","female",30.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Agree/Agree","sog_w2_unsafe_strag_ag","combined",30.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Disagree/Disagree","sog_w2_unsafe_strdis_dis","male",50.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Disagree/Disagree","sog_w2_unsafe_strdis_dis","female",48.00
"Costa Rica",2020,"A.13","Do you agree or disagree with the statement? 'There are times when I feel uncomfortable or even unsafe in my house.'","Strongly Disagree/Disagree","sog_w2_unsafe_strdis_dis","combined",49.00
"Costa Rica",2020,"B.2","On a typical day, how many hours per day do you spend working for pay? (Work for pay can be any kind of business, farming or other activity to generate income)",,"b1_hours_work","male",8.35
"Costa Rica",2020,"B.2","On a typical day, how many hours per day do you spend working for pay? (Work for pay can be any kind of business, farming or other activity to generate income)",,"b1_hours_work","female",7.25
"Costa Rica",2020,"B.2","On a typical day, how many hours per day do you spend working for pay? (Work for pay can be any kind of business, farming or other activity to generate income)",,"b1_hours_work","combined",7.77
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Any response except 'Wage'","b6_non_wage","male",42.00
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Any response except 'Wage'","b6_non_wage","female",58.00
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Any response except 'Wage'","b6_non_wage","combined",100.00
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Wages from employment of household members","b6_wage","male",42.00
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Wages from employment of household members","b6_wage","female",58.00
"Costa Rica",2020,"B.5","In the last 12 months, which of the following were your household's sources of livelihood?","Wages from employment of household members","b6_wage","combined",100.00
"Costa Rica",2020,"B.6","In normal circumstances, are you the *main* care giver of any of the following persons in your family?","Any response except 'None of the above'","c1_care","male",57.00
"Costa Rica",2020,"B.6","In normal circumstances, are you the *main* care giver of any of the following persons in your family?","Any response except 'None of the above'","c1_care","female",67.00
"Costa Rica",2020,"B.6","In normal circumstances, are you the *main* care giver of any of the following persons in your family?","Any response except 'None of the above'","c1_care","combined",63.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","All or most of the time","c1a_all","male",28.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","All or most of the time","c1a_all","female",23.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","All or most of the time","c1a_all","combined",25.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","Occasionally/Rarely/Not at all","c1a_occasionally","male",72.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","Occasionally/Rarely/Not at all","c1a_occasionally","female",77.00
"Costa Rica",2020,"B.7","How often do you normally get help from others to take care of these family members?","Occasionally/Rarely/Not at all","c1a_occasionally","combined",75.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members?","Any response except 'Spouse'","c1b_nonspouse","male",39.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members?","Any response except 'Spouse'","c1b_nonspouse","female",61.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members?","Any response except 'Spouse'","c1b_nonspouse","combined",100.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members? Spouse","Spouse","c1b_spouse","male",49.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members? Spouse","Spouse","c1b_spouse","female",51.00
"Costa Rica",2020,"B.8","Who normally helps you in taking care of these family members? Spouse","Spouse","c1b_spouse","combined",100.00
"Costa Rica",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","male",8.54
"Costa Rica",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","female",15.12
"Costa Rica",2020,"B.3","On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning) Select one",,"c1c_hours_care","combined",12.45
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Decreased","c1d_decrease","male",10.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Decreased","c1d_decrease","female",12.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Decreased","c1d_decrease","combined",11.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Increased","c1d_increase","male",57.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Increased","c1d_increase","female",55.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Increased","c1d_increase","combined",56.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Stayed the Same","c1d_same","male",25.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Stayed the Same","c1d_same","female",30.00
"Costa Rica",2020,"B.9","How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?","Stayed the Same","c1d_same","combined",28.00
"Costa Rica",2020,"B.4","In normal circumstances, do you take care of any of the following household chores at least half of the time?","Other","c2_other","male",2.00
"Costa Rica",2020,"B.4","In normal circumstances, do you take care of any of the following household chores at least half of the time?","Other","c2_other","female",3.00
"Costa Rica",2020,"B.4","In normal circumstances, do you take care of any of the following household chores at least half of the time?","Other","c2_other","combined",3.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","No","c2a_no","male",15.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","No","c2a_no","female",16.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","No","c2a_no","combined",15.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","Yes","c2a_yes","male",85.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","Yes","c2a_yes","female",84.00
"Costa Rica",2020,"B.11","Does anyone normally help you in taking care of these household chores?","Yes","c2a_yes","combined",85.00
"Costa Rica",2020,"B.12","Who normally helps you with these household chores?","Spouse","c2b_spouse","male",55.00
"Costa Rica",2020,"B.12","Who normally helps you with these household chores?","Spouse","c2b_spouse","female",45.00
"Costa Rica",2020,"B.12","Who normally helps you with these household chores?","Spouse","c2b_spouse","combined",100.00
"Costa Rica",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","male",3.60
"Costa Rica",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","female",6.03
"Costa Rica",2020,"B.13","On a typical day, how many hours per day do you spend on household chores?",,"c2c_hours_chores","combined",4.97
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Decreased","c2d_decrease","male",4.00
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Decreased","c2d_decrease","female",6.00
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Decreased","c2d_decrease","combined",5.00
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Increased","c2d_increase","male",44.00
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Increased","c2d_increase","female",56.00
"Costa Rica",2020,"B.14","How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?","Increased","c2d_increase","combined",51.00
"Costa Rica",2020,"B.14 .How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?",,"Stayed the same","c2d_same","male",47.00
"Costa Rica",2020,"B.14 .How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?",,"Stayed the same","c2d_same","female",36.00
"Costa Rica",2020,"B.14 .How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?",,"Stayed the same","c2d_same","combined",41.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Tending to animals","sog_w2_dom_tsks_anml","male",36.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Tending to animals","sog_w2_dom_tsks_anml","female",42.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Tending to animals","sog_w2_dom_tsks_anml","combined",39.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Supporting family business","sog_w2_dom_tsks_bus","male",12.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Supporting family business","sog_w2_dom_tsks_bus","female",9.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Supporting family business","sog_w2_dom_tsks_bus","combined",10.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cleaning (e.g. washing clothes, dish washing, home cleaning)","sog_w2_dom_tsks_clean","male",65.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cleaning (e.g. washing clothes, dish washing, home cleaning)","sog_w2_dom_tsks_clean","female",88.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cleaning (e.g. washing clothes, dish washing, home cleaning)","sog_w2_dom_tsks_clean","combined",78.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Subsistence Farming","sog_w2_dom_tsks_farm","male",11.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Subsistence Farming","sog_w2_dom_tsks_farm","female",7.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Subsistence Farming","sog_w2_dom_tsks_farm","combined",9.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Household management (e.g. paying bills)","sog_w2_dom_tsks_hshld","male",50.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Household management (e.g. paying bills)","sog_w2_dom_tsks_hshld","female",49.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Household management (e.g. paying bills)","sog_w2_dom_tsks_hshld","combined",49.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cooking and serving meals","sog_w2_dom_tsks_meal","male",50.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cooking and serving meals","sog_w2_dom_tsks_meal","female",69.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Cooking and serving meals","sog_w2_dom_tsks_meal","combined",61.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","None of the above","sog_w2_dom_tsks_none","male",5.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","None of the above","sog_w2_dom_tsks_none","female",3.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","None of the above","sog_w2_dom_tsks_none","combined",4.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Shopping for food for household members","sog_w2_dom_tsks_shop","male",42.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Shopping for food for household members","sog_w2_dom_tsks_shop","female",37.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Shopping for food for household members","sog_w2_dom_tsks_shop","combined",39.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Collecting water or fuel","sog_w2_dom_tsks_wtrfl","male",18.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Collecting water or fuel","sog_w2_dom_tsks_wtrfl","female",7.00
"Costa Rica",2020,"B.4","On a typical day, do you take care of any of the following domestic tasks at least half of the time? Select all that apply","Collecting water or fuel","sog_w2_dom_tsks_wtrfl","combined",12.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","No","sog_w2_wrk_no","male",42.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","No","sog_w2_wrk_no","female",60.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","No","sog_w2_wrk_no","combined",52.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","Yes","sog_w2_wrk_yes","male",58.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","Yes","sog_w2_wrk_yes","female",40.00
"Costa Rica",2020,"B.1","Over the past month, did you do any work for pay, even if only for one hour? (Work for pay can be any kind of business, farming or other activity to generate income)","Yes","sog_w2_wrk_yes","combined",48.00
"Costa Rica",2020,"D.4","What is your gender?",,"a4","male",45.00
"Costa Rica",2020,"D.4","What is your gender?",,"a4","female",55.00
"Costa Rica",2020,"D.4","What is your gender?",,"a4","combined",10.00
"Costa Rica",2020,"D.5","What is your relationship to the head of household?","Head of household","a5_r","male",45.00
"Costa Rica",2020,"D.5","What is your relationship to the head of household?","Head of household","a5_r","female",30.00
"Costa Rica",2020,"D.5","What is your relationship to the head of household?","Head of household","a5_r","combined",37.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","City","sog_w2_area_city","male",45.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","City","sog_w2_area_city","female",44.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","City","sog_w2_area_city","combined",44.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","Village/Rural Area AND Other","sog_w2_area_rural_other","male",55.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","Village/Rural Area AND Other","sog_w2_area_rural_other","female",56.00
"Costa Rica",2020,"D.3","How would you best describe the area where you currently live? Select one","Village/Rural Area AND Other","sog_w2_area_rural_other","combined",56.00
"Costa Rica",2020,"D.2","How many other people live with you under the same roof?  Please do not count yourself","0, I live alone","sog_w2_hh_sz_alone","male",6.00
"Costa Rica",2020,"D.2","How many other people live with you under the same roof?  Please do not count yourself","0, I live alone","sog_w2_hh_sz_alone","female",3.00
